name,description,killed,year,duration,country
Sino-Vietnamese War,"China-Vietnam, 1979",65000,1979,0,China
Rebellion in Chinese Turkestan,"China (Sinkiang?), 1930-35",63000,1930,5,China
Fulani War,"Fulani-Hausa (Nigeria), 1790-1801",60000,1790,11,Fulani
Amazon Wars,"Dahomey-tribes, 1818-58",60000,1818,40,Dahomey
Zulu War,"Zulu-tribes, 1819-1828",60000,1819,9,Zulu
Manchurian Hostilities,"Japan-China (Manchuria), 1931-33",60000,1931,2,Japan
Gulf War,"Iraq-Kuwait, USA, Britain, Egypt, France, Syria, Canada, 1990-91",60000,1990,1,Iraq
,"Algeria, 1992-99",60000,1992,7,Algeria
Vendee Revolt,"France (Vendee revolt, Reign of Terror), 1793-94",58000,1793,1,France
,"Guatamala, 1966-72",58000,1966,6,Guatemala
Egyptian Rebellion,"Egypt, Turkey-Britain, Egyptian rebels, 1805-11",56000,1805,6,Egypt
Siege of Rhodes,"Turkey-Knights of St. John (Rhodes), 1522",55000,1522,0,Turkey
Genocide of Kurds,"Iraq, 1960-75 G",55000,1960,15,Iraq
Angolan War of Independence,"Angola-Portugal, 1961-74",55000,1961,13,Angola
,"China (Ming)-Houjin (Liaoning, Hebei), 1631-41",53783,1631,10,China
,"Indonesian Pirates-Britain, Netherlands, Spain, 1837-60",50000,1837,23,Indonesian Pirates
Pingnian War,"China (peasants) , 1852-63",50000,1852,11,China
,"China, 1965-69",50000,1965,4,China
Napoleonic Wars (Hundred Days War),"France-Britain, Austria, Holland, 1815",49344,1815,0,France
Spanish-Turkish War,"Turkey, Barbary states-Spain, pope, emperor, 1572-74",48000,1572,2,Turkey
War of the Armada,"England-Spain, 1587-1604",48000,1587,17,England
,"China (Ming)-Jin (Jilin), 1619",47870,1619,0,China
Riffian War,"Moroccans (Rifs)-Spain, France (with support from Moors), 1919-27",47000,1919,8,Moroccans
Livonian War with Russia,"Russia-(Poland-Lithuania), 1561-71",46800,1561,10,Russia
?,"Hungary, (Poland-Lithuania), pope-Turkey, 1442-48",45000,1442,6,Hungary
,"Moguls (Afghanistan)-Rajputs (Hindus) (India), 1527",45000,1527,0,Moguls
Turkish-Venetian War,"Venice-Turkey, 1714-18",45000,1714,4,Venice
Persian War with Russia,"Russia-Persia, 1804-13",45000,1804,9,Russia
Madagascan War,"France-Madagascar, 1947-48",45000,1947,1,France
Kenya War,"Kenyans (Mau-Mau)-Britain, 1952-56",45000,1952,4,Kenyans
,"Colombia, 1984-",45000,1984,,Colombia
Mexican Expedition,"France-Mexico (with British and Spanish involvement), 1862-67",44787,1862,5,France
Second Balkan War,"Bulgaria-Serbia, Greece, Romania, Turkey, 1913",44500,1913,0,Bulgaria
Hungarian Insurrection,"Austria (Hungarian rebellion), 1703-11",43200,1703,8,Austria
Austro-Turkish War,"Turkey-(Hungary-Bohemia), emperor, Florence, 1529-33",43000,1529,4,Turkey
,"Nicaragua (with intervention from Honduras), 1982-89",43000,1982,7,Nicaragua
,"Cambodia, 1979-91",42000,1979,12,Cambodia
,"Moghuls-Kashmir, Sind, Orissa, Baluchistan, 1586-95",40000,1586,9,Moghuls
War of the American Revolution,"American colonies-Britain (intervention of France), 1775-83",40000,1775,8,American colonies
Massacre of the Janissaries,"Turkey, 1826",40000,1826,0,Turkey
Franco-Austrian War,"Piedmont, France-Austria, 1859",40000,1859,0,Piedmont
Armenian Massacre,"Turkey, Kurds-Armenians, 1893-97 G",40000,1893,4,Turkey
Franco-Turkish War,"France-Turkey, 1919-20",40000,1919,1,France
Turkish War of Independence,"Turkey, 1919-22",40000,1919,3,Turkey
Senussi War,"Libyans (Senussi)-Italy, 1920-32",40000,1920,12,Libyans
,"China-Tibet, 1954",40000,1954,0,China
Genocide of Kongo and Assimilados,"Angola, 1961-62 G",40000,1961,1,Angola
Turkish War with Persia and the Mamelukes,"Turkey-Persia, 1514-16",39000,1514,2,Turkey
Turkish War with Venice,"Turkey-Venice, Papal states, 1570-73",38000,1570,3,Turkey
Second Russo-Polish War,"Russia, Cossacks-Poland, Tartars, 1658-67",38000,1658,9,Russia
Second Anglo-Dutch War,"England, Muenster-United Provinces, Denmark, France, 1665-67",37000,1665,2,England
Cambodian Rebellion,"Cambodia (with intervention by Thailand and Vietnam), 1812",37000,1812,0,Cambodia
,"Bantu-Boers (South Africa), 1793-95",36000,1793,2,Bantu
Politicide of Harkis and OAS supporters,"Algeria, 1962 G",36000,1962,0,Algeria
Ogaden War,"Somalia-Ethiopia, Cuba (Ogaden), 1977-78",36000,1977,1,Somalia
Ottoman War (part 1),"Turkey-Hungary, 1521-26",35000,1521,5,Turkey
Revolt of Toussaint L'Overture,"Haiti-France, Spain, 1791-1795",35000,1791,4,Haiti
Great Java War,"Java-Holland, 1825-30",35000,1825,5,Java
Boer War,"Britain-Boers, 1899-1902",35000,1899,3,United_Kingdom
,"Philippines (Moros on Mindanao), 1969-86",35000,1969,17,Philippines
,"Nicaragua, 1978-79",35000,1978,1,Nicaragua
Politicide of Muslim Brotherhood,"Syria, 1981-82 G",35000,1981,1,Syria
,"Japan (Kyoto), 1571",34000,1571,0,Japan
,"Persia-Afghanistan (Herat), 1816",33000,1816,0,Persia
Carlist Revolt,"Spain (with intervention by Britain), 1833-40",32650,1833,7,Spain
Afghan Rebellion,"Afghanistan (Barakzai), 1818",32000,1818,0,Afghanistan
,"El Salvador, 1931-32",32000,1931,1,El_Salvador
Cameroon War of Independence,"Cameroonians-France, Britain, 1955-59",32000,1955,4,Cameroonians
Polish Insurrection,"Russia, Prussia-Poland, 1792-93",31080,1792,1,Russia
First War of Charles V,"France, Navarre-emperor, Spain, England, Italian states (from 1523),pope, 1521-25",31000,1521,4,France
,"Boers-Xhosa (South Africa), 1799-1801",31000,1799,2,Boers
Laos War,"Laos-Thailand, 1826-29",31000,1826,3,Laos
part of Wars of the Roses,"England, 1459-61",30000,1459,2,England
Austro-Turkish War,"Turkey-emperor, Papal states, 1537-38",30000,1537,1,Turkey
First English Civil War,"England, 1642-46",30000,1642,4,England
First Northern War,"Sweden-Denmark, Austria, Poland, Tartars, Russia, Transylvania (with Dutch and English intervention), 1655-61",30000,1655,6,Sweden
Polish-Turkish War,"Turkey, Tartars, Cossacks-Poland, 1672-73",30000,1672,1,Turkey
Azov Expedition,"Russia-Turkey (Azov), 1695-1700",30000,1695,5,Russia
Shantung Rebellion,"China (Shantung rebellion), 1774",30000,1774,0,China
,"China-Annam (Vietnam), 1788-89",30000,1788,1,China
,"Poland-Russia, Austria, Prussia, 1794-95",30000,1794,1,Poland
,"Afghanistan (with intervention by Persia), 1898",30000,1798,0,Afghanistan
Second Serbian Uprising,"Turkey-Serbia, 1814-15",30000,1814,1,Turkey
Second Polish Insurrection,"Poland, Lithuania, Byelorussia-Russia (aided by Prussia), 1863-64",30000,1863,1,Poland
Tonkin War,"France-Tonkin, Vietnam, 1873-74",30000,1873,1,France
,"Indonesia (communists), 1956-61",30000,1956,5,Indonesia
Mozambican War of Independence,"Mozambique-Portugal, 1964-74",30000,1964,10,Mozambique
Politicide of opposition,"Ethiopia, 1974-79 G",30000,1974,5,Ethiopia
,"Turkey (Kurds), 1984-",30000,1984,,Turkey
JVP War,"Sri Lanka (JVP), 1987-90",30000,1987,3,Sri_Lanka
,"Sierra Leone, 1991-99",30000,1991,8,Sierra_Leone
Gold Coast War,"Ashanti-Fante (Ghana), 1806-07",29000,1806,1,Ashanti
Peruvian War,"Peru-Bolivia, Ecuador, 1827-29",29000,1827,2,Peru
,"China (Ming)-Houjin (Liaoning, Hebei), 1627-29",28875,1627,2,China
Bulavin's revolt,"Russia (Astrakhan), 1707-08",28500,1707,1,Russia
War of Quadruple Alliance,"Spain-Austria, Britain, France, United Provinces, 1717-20",28350,1717,3,Spain
Turkish War with Russia,"Turkey, Tartars-Russia, 1768-74",28000,1768,6,Turkey
Third Mysore War,"Mysore-Britain (South Africa), 1789-92",28000,1789,3,Mysore
Mahdist Uprising,"Britain, Egypt-Sudan, 1881-85",28000,1881,4,United_Kingdom
Second Silesian War,"Prussia-Austria, 1744-45",27800,1744,1,Prussia
Polish Civil War,"Poland (Lubomirski revolt), 1664-66",27600,1664,2,Poland
Russian Civil War,"Muscovy (with intervention by Poland, Sweden, Cossacks), 1604-13",27000,1604,9,Muscovy
Livonian War,"Poland-Russia, Livonia, Estonia, 1577-82",26250,1577,5,Poland
First Anglo-Dutch War,"United Provinces-England, 1652-53",26040,1652,1,United Provinces
War of Jenkins Ear,"Britain-Spain, 1739-43",26000,1739,4,United_Kingdom
,"France, Spain (from 1779), Holland (from 1780)-Britain, 1778-83",26000,1778,5,France
Xhosa War,"Britain, Boers-Xhosa (South Africa), 1811-19",26000,1811,8,United_Kingdom
Assam War,"Burma-Assam, 1819-22",26000,1819,3,Myanmar_[Burma]
Paris Commune,"France (Commune), 1871",25900,1871,0,France
Austria-Turkey War,"Austria-Turkey, 1716-18",25500,1716,2,Austria
Genocide of Bubi and others,"Equatorial Guinea, 1969-79 G",25500,1969,10,Equatorial_Guinea
,"Persia-Georgia, 1795-96",25000,1795,1,Persia
Second British-Maratha War,"Britain-Marathas, 1803-05",25000,1803,2,United_Kingdom
Gurkha War,"Britain-Gurkhas (Nepal), 1814-16",25000,1814,2,United_Kingdom
Taiwanese Revolt,"China (Taiwan), 1947 G",25000,1947,0,China
,"Burma, 1968-80",25000,1968,12,Myanmar_[Burma]
,"Ethiopia (Ogaden), 1978-79",25000,1978,1,Ethiopia
,"Tadjikistan, 1992-93",25000,1992,1,Tadjikistan
First British-Sikh War,"Britain-Sikhs, 1845-46",24700,1845,1,United_Kingdom
Haitian Revolt,"Haiti-France, 1802-03",24150,1802,1,Haiti
Ottoman War,"Turkey, Transylvania-emperor, Hungary, 1551-62",24000,1551,11,Turkey
Spanish-Turkish War,"Spain, Venice-Turkey, Tripoli, 1559-65",24000,1559,6,Spain
Austro-Turkish War,"Turkey-Emperor (Austria), 1566",24000,1566,0,Turkey
Hussite Wars,"Bohemia (Hussites, with intervention by Germany and others), 1419-34",23400,1419,15,Bohemia
First Silesian War,"Prussia-Austria, 1740-42",23400,1740,2,Prussia
,"Britain, Holland-Algiers, Turkey, 1816",23000,1816,0,United_Kingdom
,"Peru, 1982-94 ?",23000,1982,12,Peru
,"China (Qing)-Miao (Guizhou, Guangxi), 1736",22600,1736,0,China
First Polish-Swedish War for Livonia,"Poland-Sweden, 1600-11",22500,1600,11,Poland
Cambodian War I,"Cambodia-Thailand, 1831-34",22000,1831,3,Cambodia
Malay Peninsula conflict,"Siam-Kedah (Malay Peninsula), 1821",21000,1821,0,Siam
Polish Insurrection,"Poland-Russia, 1830-31",21000,1830,1,Poland
Miguelite War,"Portugal (with intervention by Britain, France, and Spain), 1828-34",20100,1828,6,Portugal
,"Spain-Turkey, 1532-35",20000,1532,3,Spain
,"Turkey-emperor, Papal states, 1541-44",20000,1541,3,Turkey
,"Portugal-Morocco, 1578",20000,1578,0,Portugal
,"China (Guizhou), 1594-96?",20000,1594,2,China
Habsburg-Ottoman War,"Turkey-Austria (assisted by France, Spain and German states), 1663-64",20000,1662,2,Turkey
,"Burma-China (Burma), 1765-70",20000,1765,5,Myanmar_[Burma]
Wahhabi War,"Egypt-Wahhabis (Arabia), 1811-13",20000,1811,2,Egypt
,"(Austria-Hungary)-Naples, 1815",20000,1815,0,(Austria-Hungary)
Nubian conflict,"Egypt-Sudan, 1820-21",20000,1820,1,Egypt
Kashgaria Revolt,"China (Kokand, Khojas), (East Turkestan), 1822-28",20000,1822,6,East Turkestan
First Burma War,"Britain-Burma, 1823-26",20000,1823,3,United_Kingdom
,"China (Muslims in East Turkestan), 1826-28",20000,1826,2,East Turkestan
,"Burma, 1838-45",20000,1838,7,Myanmar_[Burma]
Arabian War,"Britain-Arabs, 1839-45",20000,1839,6,United_Kingdom
First British-Afghan War,"Britain-Afghanistan, 1839-42",20000,1839,3,United_Kingdom
,"Venezuela, 1859-63",20000,1859,4,Venezuela
Second Ashanti War,"Ashantis (Ghana)-Britain, Kpa-Mende, 1873-74",20000,1873,1,Ashantis
Third Carlist War,"Spain (Carlists), 1876-85",20000,1876,9,Spain
Russo-Turcoman War,"Russia-Turkomans (Turkmenistan), 1877-81",20000,1877,4,Russia
Congo Arabs War,"Belgium-Arabs in eastern Congo (Kasai), 1892-94",20000,1892,2,Belgium
Italo-Turkish War,"Italy-Turkey (Libya), 1911-12",20000,1911,1,Italy
War of Finnish Independence,"Finland, 1918",20000,1918,0,Finland
Soviet-Turkestani War,"China, Soviet Union-Turkestan, 1931-34",20000,1931,3,China
Nomonhan War,"Japan-Soviet Union, Mongolia, 1939",20000,1939,0,Japan
Russo-Hungarian War,"Soviet Union-Hungary, 1956",20000,1956,0,Soviet Union
Second Kashmir War,"Pakistan-India, 1965",20000,1965,0,Pakistan
,Armenia-Azerbaijan (Nagorno-Karabakh),20000,1988,6,Armenia
,"Sierra Leone, 1998-",20000,1998,,Sierra_Leone
,"China-Japanese pirates, rebels (Zhejiang, Fujian Guangdong), 1561-68",19600,1561,7,China
Wars of the Roses,"England (dynastic, nobles), 1455-85",19500,1455,30,England
Genocide of Ibos in North,"Nigeria, 1966 G",19500,1966,0,Nigeria
,"India (Sikhs), 1984-",19237,1984,,India
Italian Revolution of 1848-49 (Venetian war),"Italy-Austria, France, Spain, 1848-49",19200,1848,1,Italy
Ceylon War,"Britain-Netherlands (Sri Lanka), 1795-96",19000,1795,1,United_Kingdom
Fourth Mysore War,"Mysore-Britain, Hyderabad, 1799",19000,1799,0,Mysore
Spanish-Santo Dominican War,"Dominican Republic-Spain, 1863-65",19000,1863,2,Dominican_Republic
Abyssinian War,"Italy-Ethiopia, Sudan, 1894-96",19000,1894,2,Italy
,"Laos (with intervention by US, North Vietnam), 1963-75",18500,1963,12,Laos
,"Japan (Osaka), 1614-15",18350,1614,1,Japan
,"Hungary-Bohemia, 1470-78",18000,1470,8,Hungary
War of the League of Cognac,"Pope, Venice, Florence-emperor, Spain 1526-28",18000,1526,2,Pope
,"Turkey (Egypt), 1786",18000,1786,0,Turkey
War of Mexican Independence,"Mexico-Spain, 1810-14",18000,1810,4,Mexico
Arakan Revolt,"Burma (Arakan), 1811-15",18000,1811,4,Arakan
First Turko-Egyptian War,"Egypt-Turkey (Syria) (with Russian, French and British intervention), 1831-33",18000,1831,2,Egypt
First Transvaal War,"Transvaal (Boors)-Britain, 1880-81",18000,1880,1,Transvaal
Second War of Charles V,"France, Venice, England, Genoa (till June 1528)-emperor, Spain, Genoa, 1526-30",17750,1526,4,France
